Range,Round,Beat,Place,Ha.,Place Year
Modasa,Medhasan SF,Sardoi SF,Chamunda Mataji Mandir Sardoi-P.G.V 25-26,1,
Modasa,Medhasan SF,Sardoi SF,Ganganath Vidyalaya Khambhisar-P.G.V 25-26,1,
Modasa,Medhasan SF,Sardoi SF,Dhareshwar Mahadev Temple Sardoi-P.G.V 25-26,,
Modasa,Modasa SF,Modasa SF,Village Level Van Mahotsav Celebration-5,,
Modasa,Modasa SF,Modasa SF,Gov. Eng.College Modasa-P.G.V 25-26,1,
Modasa,Modasa SF,Modasa SF,Govt High School Kau H.Gam (SCP) 25-26,1,
Modasa,Modasa SF,Sakriya SF,Village Level Van Mahotsav Celebration-6,,
Modasa,Modasa SF,Sakriya SF,Dis. Education and Training Building Sakarya-P.G.V 25-26,1,
Modasa,Shinawad SF,Faredi SF,Village Level Van Mahotsav Celebration-7,,
Modasa,Shinawad SF,Shinawad SF,Village Level Van Mahotsav Celebration-8,,
Modasa,Shinawad SF,Shinawad SF,Vruksh Rath 25-26-2,1,
Modasa,Tintoi SF,Dadhaliya SF,Village Level Van Mahotsav Celebration-9,,
Modasa,Tintoi SF,Dadhaliya SF,Vruksh Rath 25-26- 3,1,
Modasa,Tintoi SF,Tintoi SF,Village Level Van Mahotsav Celebration-10,,
Modasa,Tintoi SF,Tintoi SF,Nandishwar Mahadev Temple Nandisan-P.G.V 25-26,1,
Modasa,Tintoi SF,Tintoi SF,Tintoi Cemetery-P.G.V 25-26,1,
Modasa,Tintoi SF,Tintoi SF,Tintoi Cemetery-H.Gam 25-26,1,
Modasa,Tintoi SF,Tintoi SF,Bolundra Lake -P.Amrut sarovar-25-26,1,
Modasa,Tintoi SF,Tintoi SF,Bolundra Dugresh Mahadev Temple-P.G.V 25-26,1,
Modasa,Tintoi SF,Tintoi SF,Taluka Level Van Mahotsav Celebration 25-26,1,
Modasa,Tintoi SF,Dadhaliya SF,"New Van Kutir, Mahadev Mandir at Nani Isarol",,
Modasa,Modasa SF,Modasa SF,"Maint. of Van Kutir "" Bhamrechi Mataji Mandir at Sayra",,
Modasa,-,-,,,
Modasa,Limbhoi SF,Rakhiyal SF,G-1 Khumapur,4,2026-27
Modasa,Limbhoi SF,Limbhoi SF,G-2 Limbhoi,3,2026-27
Modasa,Medhasan SF,Medhasan SF,CFP-E Madasana Smashan,2,2026-27
Modasa,Tintoi SF,Tintoi SF,SCP-E-Bolundra Smashan,1,2026-27
Modasa,Tintoi SF,Tintoi SF,CP-E-Nandeswar Mahadev Mandir-Nadisan,1,2026-27
Malpur,Jitpur SF,Jitpur SF,,,
Malpur,Malpur SF,Mevda SF,,,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur-DCP-SCP-25-26,,
Malpur,Ubharan SF,Ubharan SF,Ubharan-SHG-SCP-25-26,,
Malpur,Malpur SF,Surana Pahadiya SF,Malpur -SHG-SCP-25-26,,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada-SCP-DCP-25-26,,
Malpur,Malpur SF,Surana Pahadiya SF,Mahiyapur -F.F.-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Lalji na Pahadiya -F.F.-24-25,2,
Malpur,Ubharan SF,Ubharan SF,Tunadar-HG-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Rambhoda-DCP-10CFP-25-26,,
Malpur,Malpur SF,Mevda SF,Ricchvad-DCP-10CFP-25-26,,
Malpur,Malpur SF,Surana Pahadiya SF,Vavdi -F.F.-24-25,8,
Malpur,Ubharan SF,Ubharan SF,Aniyor-E-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Nava-DCP-10CFP-25-26,,
Malpur,Malpur SF,Mevda SF,Dholeshvar-DCP-10CFP-25-26,,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur -F.F.-24-25,3,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada -RDFL-24-25,6,
Malpur,Jitpur SF,Jitpur SF,Helodar-DCP-10CFP-25-26,,
Malpur,Malpur SF,Mevda SF,Mevada-DCP-10CFP-25-26,,
Malpur,Malpur SF,Surana Pahadiya SF,Surajpur -F.F.-24-25,4,
Malpur,Ubharan SF,Ubharan SF,Sakhvaniya -PGVP-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Katkuva-DCP-10CFP-25-26,,
Malpur,Malpur SF,Mevda SF,Mevada-DCP-SCP-25-26,,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur -RDFL-24-25,4,
Malpur,Ubharan SF,Ubharan SF,Aniyor To Aniyorkanpa Raod-S-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Jitpur-DCP-SCP-25-26,,
Malpur,Malpur SF,Mevda SF,Mevada -SHG-SCP-25-26,,
Malpur,Malpur SF,Surana Pahadiya SF,Tiski -PGVP-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada - NBM(Priv.)-24-25,5,
Malpur,Jitpur SF,Jitpur SF,Rambhoda-DCP-SCP-25-26,,
Malpur,Malpur SF,Mevda SF,Gopalpur -G1-25-26,2,
Malpur,Malpur SF,Surana Pahadiya SF,Tiski -NBM(Govt.BP)-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada - AFLDP-24-25,3,
Malpur,Jitpur SF,Jitpur SF,Anbaliya -G2-25-26,4,
Malpur,Malpur SF,Mevda SF,Nanavada -G1-25-26,1,
Malpur,Malpur SF,Surana Pahadiya SF,Jeshvadi -NBM(Govt.BP)-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Ubharan - AFLDP-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Sadrda Mandir - 1 -E-25-26,1,
Malpur,Malpur SF,Mevda SF,Rampur -G2-25-26,3,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur - NBM((Pri.)-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Vankaneda - AFHDP2-24-25,3,
Malpur,Jitpur SF,Jitpur SF,Sadrda Mandir -2 -E-25-26,1,
Malpur,Malpur SF,Mevda SF,Tiski To Rinchvad Raod-S-24-25,3,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur - AFPBP-24-25,14,
Malpur,Ubharan SF,Ubharan SF,Aniyor- AFHDP2-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Kaswada-G1-24-25,3,
Malpur,Malpur SF,Mevda SF,Chufari-G2-24-25,2,
Malpur,Malpur SF,Surana Pahadiya SF,Lalji na Pahadiya - AFPBP-24-25,5,
Malpur,Ubharan SF,Ubharan SF,Vadinath na muvada - AFHDP2-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Kaswada-G2-24-25,4,
Malpur,Malpur SF,Mevda SF,Nanavada-E-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Jeshingpur - AFPBP-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada - AFPBP(SCP)-24-25,1,
Malpur,Jitpur SF,Jitpur SF,Nava-F.F.-24-25,9,
Malpur,Malpur SF,Mevda SF,Juna Takhatpur -F.F.-24-25,4,
Malpur,Malpur SF,Surana Pahadiya SF,Malji Na Pahadiya - AFPBP-24-25,4,
Malpur,Ubharan SF,Ubharan SF,Kothi -F.F.-23-24,8,
Malpur,Jitpur SF,Jitpur SF,Helodar-F.F.-24-25,1,
Malpur,Malpur SF,Mevda SF,Meditimba -F.F.-24-25,3,
Malpur,Malpur SF,Surana Pahadiya SF,Vavdi - AFPBP-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Aniyor -F.F.-23-24,6.5,
Malpur,Jitpur SF,Jitpur SF,Jitpur -F.F.-24-25,0.5,
Malpur,Malpur SF,Mevda SF,Nava Takhatpur -F.F.-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Jeshvadi - AFLDP-24-25,2.5,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada -F.F.-23-24,1,
Malpur,Jitpur SF,Jitpur SF,Dhirakhant Na muvada-F.F.-24-25,0.5,
Malpur,Malpur SF,Mevda SF,Dholeshvar -F.F.-24-25,3,
Malpur,Malpur SF,Surana Pahadiya SF,Jeshingpur - AFLDP-24-25,3.5,
Malpur,Ubharan SF,Ubharan SF,Fansarel -RDFL-23-24,2,
Malpur,Jitpur SF,Jitpur SF,Jitpur -RDFL-24-25,1,
Malpur,Malpur SF,Mevda SF,Hamirpur -PGVP-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Malpur - AFLDP-24-25,3.5,
Malpur,Ubharan SF,Ubharan SF,Aniyor -RDFL-23-24,0.5,
Malpur,Jitpur SF,Jitpur SF,Mangalpur -PGVP-24-25,1,
Malpur,Malpur SF,Mevda SF,Rinchvad -PGVP-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Mahiyapur- AFLDP-24-25,3,
Malpur,Ubharan SF,Ubharan SF,Khalikpur - AF PBP-23-24,4,
Malpur,Jitpur SF,Jitpur SF,Govindpur -PGVP-24-25,1,
Malpur,Malpur SF,Mevda SF,Chufari-NBM(Govt.BP)-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur - AFLDP-24-25,7.5,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada - AF LDP-23-24,1,
Malpur,Jitpur SF,Jitpur SF,Lalsipur-NBM((Private)-24-25,5,
Malpur,Malpur SF,Mevda SF,Nanavada -NBM(Govt.BP)-24-25,1.5,
Malpur,Malpur SF,Surana Pahadiya SF,mordungi- AFLDP-24-25,5,
Malpur,Ubharan SF,Ubharan SF,Aniyor - AF LDP-23-24,1,
Malpur,Jitpur SF,Jitpur SF,Pujara ni muvadi - AF PBP-24-25,1,
Malpur,Malpur SF,Mevda SF,Nanavada - SCP NBM-24-25,2,
Malpur,Malpur SF,Surana Pahadiya SF,Manvav- AFLDP-24-25,4,
Malpur,Ubharan SF,Ubharan SF,Kothi - AF LDP-23-24,3,
Malpur,Jitpur SF,Jitpur SF,Katkuva - AFPBP-24-25,8,
Malpur,Malpur SF,Mevda SF,Nanavada - AFPBP-24-25,6,
Malpur,Malpur SF,Surana Pahadiya SF,Surajpur- AFHDP1-24-25,8,
Malpur,Ubharan SF,Ubharan SF,Kothi - AF HDP1-23-24,1,
Malpur,Jitpur SF,Jitpur SF,Koyliya- AFPBP-24-25,2,
Malpur,Malpur SF,Mevda SF,Meditimba - AFPBP-24-25,3,
Malpur,Malpur SF,Surana Pahadiya SF,mordungi- AFHDP1-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Kothi - AF HDP 2-23-24,0.5,
Malpur,Jitpur SF,Jitpur SF,Lalpur - AFPBP-24-25,1,
Malpur,Malpur SF,Mevda SF,Nathavas - AFPBP-24-25,4,
Malpur,Malpur SF,Surana Pahadiya SF,jeshingpur - AFHDP1-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Molli - CFP E-22-23,1,
Malpur,Jitpur SF,Jitpur SF,Helodar - AFLDP-24-25,5.5,
Malpur,Malpur SF,Mevda SF,Nanavada - AFLDP-24-25,5,
Malpur,Malpur SF,Surana Pahadiya SF,Shura na Pahadiya - AFHDP2-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Molli - FF-22-23,2,
Malpur,Jitpur SF,Jitpur SF,Katkuva - AFLDP-24-25,1,
Malpur,Malpur SF,Mevda SF,Meditimba - AFLDP-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Satrda - AFHDP2-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Vankaneda- FF-22-23,6,
Malpur,Jitpur SF,Jitpur SF,Anbaliya - AFLDP-24-25,2.5,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur - AFHDP2-24-25,1,
Malpur,Ubharan SF,Ubharan SF,Aniyor - RDFL-22-23,2,
Malpur,Jitpur SF,Jitpur SF,Dabarn - AFLDP-24-25,2.5,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur - AFPBP(SCP) -24-25,2,
Malpur,Ubharan SF,Ubharan SF,Ubhran - RDFL-22-23,1,
Malpur,Jitpur SF,Jitpur SF,Gajan- AFLDP-24-25,2.5,
Malpur,Malpur SF,Mevda SF,Rinchvad - AF PBP(SCP)-24-25,1,
Malpur,Malpur SF,Surana Pahadiya SF,Tiski -G1-23-24,3,
Malpur,Ubharan SF,Ubharan SF,Fansarel - RDFL-22-23,1,
Malpur,Jitpur SF,Jitpur SF,Koyaliya - AFLDP-24-25,1,
Malpur,Malpur SF,Mevda SF,Nathavas Pry.Shala -E-23-24,1,
Malpur,Malpur SF,Surana Pahadiya SF,Shura na Pahadiya -F.F.-23-24,6,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada-Vruxkheti-22-23,1.5,
Malpur,Jitpur SF,Jitpur SF,Bamani- AFLDP-24-25,1,
Malpur,Malpur SF,Mevda SF,Dodiya -HG-23-24,1,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur -RDFL-23-24,4,
Malpur,Ubharan SF,Ubharan SF,Kothi-Vruxkheti-22-23,4,
Malpur,Jitpur SF,Jitpur SF,Nava - AFLDP-24-25,1,
Malpur,Malpur SF,Mevda SF,Meditimba-F.F.-23-24,2,
Malpur,Malpur SF,Surana Pahadiya SF,Malpur -RDFL-23-24,0.5,
Malpur,Ubharan SF,Ubharan SF,Fansarel-Vruxkheti-22-23,1,
Malpur,Jitpur SF,Jitpur SF,Kankaritimba - AFLDP-24-25,4,
Malpur,Malpur SF,Mevda SF,Rinchvad-F.F.-23-24,2.5,
Malpur,Malpur SF,Surana Pahadiya SF,Rasapur(Malpur)-RDFL-23-24,1,
Malpur,Ubharan SF,Ubharan SF,Kothi-Vruxkheti(SCP)-22-23,2,
Malpur,Jitpur SF,Jitpur SF,Nava- AFHDP2-24-25,2,
Malpur,Malpur SF,Mevda SF,Nava Takhatpur -F.F.-23-24,0.5,
Malpur,Malpur SF,Surana Pahadiya SF,Lalji na Pahadiya -Vruxkheti-23-24,10,
Malpur,Ubharan SF,Ubharan SF,Kothi-NBM(Privete)-22-23,2,
Malpur,Jitpur SF,Jitpur SF,Anbaliya - AFPBP(SCP)-24-25,2,
Malpur,Malpur SF,Mevda SF,Mevda -F.F.-23-24,2,
Malpur,Malpur SF,Surana Pahadiya SF,Trikampur -Vruxkheti(SCP)-23-24,3,
Malpur,Ubharan SF,Ubharan SF,Khalikpur -NBM(Govt.)-22-23,5,
Malpur,Jitpur SF,Jitpur SF,Aniyor To Aniyorkanpa Raod-S-23-24,2,
Malpur,Malpur SF,Mevda SF,Godh-RDFL-23-24,2,
Malpur,Malpur SF,Surana Pahadiya SF,Lalji na Pahadiya - Vruxkheti(SCP)-23-24,2,
Malpur,Ubharan SF,Ubharan SF,Khalikpur -NBM(Govt.SCP)-22-23,1,
Malpur,Jitpur SF,Jitpur SF,Govindpur -G2-23-24,6,
Malpur,Malpur SF,Mevda SF,Meditimba -Vruxkheti-23-24,1,
Malpur,Malpur SF,Surana Pahadiya SF,Jeshingpur - AF PBP-23-24,4,
Malpur,Ubharan SF,Ubharan SF,Parpotiya-G2-21-22,2,
Malpur,Jitpur SF,Jitpur SF,Mangalpur -SCP-E-23-24,1,
Malpur,Malpur SF,Mevda SF,Dholeshvar -Vruxkheti-23-24,3,
Malpur,Malpur SF,Surana Pahadiya SF,Mathvas - AF LDP-23-24,4,
Malpur,Ubharan SF,Ubharan SF,Parpotiya-E-21-22,1,
Malpur,Jitpur SF,Jitpur SF,Helodar -F.F.-23-24,4,
Malpur,Malpur SF,Mevda SF,Rinchvad -Vruxkheti-23-24,1,
Malpur,Malpur SF,Surana Pahadiya SF,Jeshvadi- AF LDP-23-24,2,
Malpur,Ubharan SF,Ubharan SF,Kothi-F.F.-21-22,13,
Malpur,Jitpur SF,Jitpur SF,Dhirakhant Na Muvada -F.F.-23-24,3,
Malpur,Malpur SF,Mevda SF,Nava Takhatpur - AFPBP-23-24,1,
Malpur,Ubharan SF,Ubharan SF,Ubhran-RDFL-21-22,2,
Malpur,Jitpur SF,Jitpur SF,Rambhoda -F.F.-23-24,2.5,
Malpur,Malpur SF,Mevda SF,Dholeshvar - AFPBP-23-24,4,
Malpur,Ubharan SF,Ubharan SF,Ganeshkhant Na muvada-Vruxkheti-21-22,3,
Malpur,Jitpur SF,Jitpur SF,Navagam -F.F.-23-24,1,
Malpur,Malpur SF,Mevda SF,Nathavas - AFPBP-23-24,1,
Malpur,Ubharan SF,Ubharan SF,Ubhran - Vruxkheti (SCP)-21-22,1.5,
Malpur,Jitpur SF,Jitpur SF,Dabaran -F.F.-23-24,1,
Malpur,Malpur SF,Mevda SF,Meditimba- AFLDP-23-24,1,
Malpur,Ubharan SF,Ubharan SF,Parpotiya - AF PBP-21-22,2,
Malpur,Jitpur SF,Jitpur SF,Jitpur -Vruxkheti-23-24,2,
Malpur,Ubharan SF,Ubharan SF,Kothi- AF LDP-21-22,3,
Malpur,Ubharan SF,Ubharan SF,Ganeshkhant Na muvada- AFHDP2-21-22,2,
Malpur,Ubharan SF,Ubharan SF,Jalamkhant na muvada - AFPBP(SCP)-21-22,1,
Malpur,Jitpur SF,-,,,
Malpur,Malpur SF,-,,,
Malpur,Ubharan SF,-,,,
Malpur,Malpur SF,Surana Pahadiya SF,,1,2025-26
Malpur,Malpur SF,Surana Pahadiya SF,Strda Highschool H.G,1,2025-26
Malpur,Jitpur SF,Jitpur SF,,1,2025-26
Malpur,Malpur SF,Mevda SF,,1,2025-26
Malpur,Malpur SF,Mevda SF,,,2025-26
Malpur,Malpur SF,Surana Pahadiya SF,Malpur Rang Office,,
Malpur,Malpur SF,Surana Pahadiya SF,Village Level Van Mahotsav Celebration M1,,2025-26
Malpur,Rellavada SF,Mevda SF,Village Level Van Mahotsav Celebration M2,,2025-26
Malpur,Jitpur SF,Jitpur SF,Village Level Van Mahotsav Celebration M3,,2025-26
Malpur,Ubharan SF,Ubharan SF,Village Level Van Mahotsav Celebration M4,,2025-26
Malpur,Malpur SF,Surana Pahadiya SF,Taluka Level Van Mahotsav Celebration M1,,2025-26
Malpur,Rellavada SF,Mevda SF,Taluka Level Van Mahotsav Celebration M2,,2025-26
Malpur,Jitpur SF,Jitpur SF,Taluka Level Van Mahotsav Celebration M3,,2025-26
Malpur,Ubharan SF,Ubharan SF,Taluka Level Van Mahotsav Celebration M4,,2025-26
Malpur,Malpur SF,Surana Pahadiya SF,Vruksh Rath M1,,2025-26
Malpur,Rellavada SF,Mevda SF,Vruksh Rath M2,,2025-26
Malpur,Jitpur SF,Jitpur SF,Vruksh Rath M3,,2025-26
Malpur,Ubharan SF,Ubharan SF,Vruksh Rath M4,,2025-26
Malpur,Jitpur SF,Jitpur SF,,1,2022-23
Malpur,Malpur SF,Mevda SF,,4,2022-23
Malpur,Malpur SF,Surana Pahadiya SF,,4,2022-23
Malpur,Malpur SF,Mevda,Mevda To Rampur-S-26-27,2,2026-27
Malpur,Malpur SF,Mevda,Nanavada- G1-26-27,2,2026-27
Malpur,Jitpur SF,Jitpur,Dabaran- G1-26-27,2,2026-27
Malpur,Malpur SF,Mevda,Nanavada- E-26-27,2,2026-27
Malpur,Jitpur SF,Jitpur,Dabaran- E-26-27,1,2026-27
Malpur,Malpur SF,Mevda SF,Malpur to Takhatpur Road - S -20-21,3,2020-21
Malpur,Malpur SF,Surana Pahadiya SF,Malji na Pahadiya - G1 -20-21,2,2020-21
Malpur,Malpur SF,Surana Pahadiya SF,Sompur to Satrda Road - S -21-22,3,2020-21
Malpur,Ubharan SF,Ubharan SF,Aniyorkanmpa to Aniyor Road - S -20-21,2,2020-21
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Khedbrahma Nur.VNM 25-26,,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Danmahudi-DCP-25-26,,
Khedbrahma,Lambadiya SF,Lambadiya SF,Demti Narsary-VNM,,
Khedbrahma,Laxmipura SF,Galodiya SF,Didhiya-DCP-25-26,,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Valaran-FF-24-25,3,
Khedbrahma,Matoda SF,Radhivad,Unchidhanal-SHG-25-26,,
Khedbrahma,Matoda SF,Matoda SF,Chada-DCP-25-26,,
Khedbrahma,Poshina SF,Poshina SF,Ajavas-DCP-25-26,,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Bhutiyia-DCP-25-26,,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Kheroj]-DCPSCP-25-26,,
Khedbrahma,Lambadiya SF,Lambadiya SF,Lambadiya Narsary-RKVY-25-26,,
Khedbrahma,Laxmipura SF,Galodiya SF,Galodiya-DCPSCP-25-26,,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Didhiya-PGVP-24-25,1,
Khedbrahma,Matoda SF,Radhivad,Agiya-G2-25-26,9,
Khedbrahma,Matoda SF,Matoda SF,Unchidhanal-DCPSCP-25-26,,
Khedbrahma,Poshina SF,Poshina SF,Dantral-DCPSCP-25-26,,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Paroya-SHG-25-26,,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Danmahudi-FF-24-25,3,
Khedbrahma,Lambadiya SF,Lambadiya SF,Demti-DCP-25-26,,
Khedbrahma,Laxmipura SF,Galodiya SF,Didhiya-FF-24-25,6,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Rodhara-PGVP-24-25,1,
Khedbrahma,Matoda SF,Matoda SF,Agiya-RDFL-24-25,0.5,
Khedbrahma,Poshina SF,Poshina SF,poshina-DCPSCP-25-26,,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Vasna-G1-25-26,8,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Changod-FF-24-25,4,
Khedbrahma,Lambadiya SF,Lambadiya SF,Demti-DCPSCP-25-26,,
Khedbrahma,Laxmipura SF,Galodiya SF,Shilvad-FF-24-25,2,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Valaran-PGVP-24-25,1,
Khedbrahma,Matoda SF,Radhivad,Gundel-E-25-26,0.5,
Khedbrahma,Matoda SF,Matoda SF,Digthali-FF-24-25,12,
Khedbrahma,Poshina SF,Poshina SF,Koland-FF-24-25,4,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Bu.Chapara-FF-24-25,3,
Khedbrahma,Lambadiya SF,Demti Narsary-RKVY-25-26,Ganava-FF-24-25,1.5,
Khedbrahma,Laxmipura SF,Galodiya SF,Galodiya-RDFL-24-25,0.5,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Didhiya-AFPBP-24-25,1,
Khedbrahma,Matoda SF,Radhivad,Unchidhanal-E-25-26,0.5,
Khedbrahma,Matoda SF,Matoda SF,matoda-PGVP-24-25,1,
Khedbrahma,Poshina SF,Poshina SF,Dantral-FF-24-25,2,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,VasnaSmashan-E-25-26,1,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Umbora-FF-24-25,1,
Khedbrahma,Lambadiya SF,Lambadiya SF,Nada-FF-24-25,2,
Khedbrahma,Laxmipura SF,Galodiya SF,Kalol-RDFL-24-25,0.5,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Didhiya-AFLDP-24-25,6,
Khedbrahma,Matoda SF,Radhivad,Gadhada Shamalaji-RDFL-24-25,1,
Khedbrahma,Matoda SF,Matoda SF,Pipodara-AFPBP-24-25,8,
Khedbrahma,Poshina SF,Poshina SF,Mamapipla-FF-24-25,3,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Nichidhanal kampa-E-25-26,1,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Navamota-FF-24-25,1,
Khedbrahma,Lambadiya SF,Lambadiya SF,Dedka-FF-24-25,1,
Khedbrahma,Laxmipura SF,Galodiya SF,Laxmipura-RDFL-24-25,0.5,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Sebalvat-AFLDP-24-25,3,
Khedbrahma,Matoda SF,Radhivad,radhivad-PGVP-24-25,1,
Khedbrahma,Matoda SF,Matoda SF,Dightali-AFLDP-24-25,3,
Khedbrahma,Poshina SF,Poshina SF,Poshina-RDFL-24-25,1,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Kehdbrhmapani purvatha-E-25-26,1,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Kheroj-RDFL-24-25,1,
Khedbrahma,Lambadiya SF,Lambadiya SF,Malvas-FF-24-25,1.5,
Khedbrahma,Laxmipura SF,Galodiya SF,Galodiya-PGVP-24-25,1,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Valran-AFLDP-24-25,8,
Khedbrahma,Matoda SF,Radhivad,Agiya-PGVP-24-25,1,
Khedbrahma,Matoda SF,Matoda SF,Jhanjhava-AFHDP1-24-25,4.5,
Khedbrahma,Poshina SF,Poshina SF,Poshina-PGVP-24-25,1,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Khedbrahma To Vadali-S-25-26,3,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Kheroj-PGVP-24-25,1,
Khedbrahma,Lambadiya SF,Lambadiya SF,Demti-FF-24-25,4,
Khedbrahma,Laxmipura SF,Galodiya SF,Kalol-PGVP-24-25,1,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Khairgadh-AFLDP-24-25,3,
Khedbrahma,Matoda SF,Radhivad,Gundel-PGVP-24-25,1,
Khedbrahma,Matoda SF,Matoda SF,Dodivada-AFHDP1-24-25,1.5,
Khedbrahma,Poshina SF,Poshina SF,Dantral-PGVP-24-25,1,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Padardi-VANAKAVACH-24-25,1,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Changod-PGVP-24-25,1,
Khedbrahma,Lambadiya SF,Lambadiya SF,Lambadiya-RDFL-24-25,1,
Khedbrahma,Laxmipura SF,Galodiya SF,Laxmipura-DCP-24-25,,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Didhiya-AFHDP1-24-25,4,
Khedbrahma,Matoda SF,Radhivad,Unchidhanal-PGVP-24-25,1,
Khedbrahma,Matoda SF,Matoda SF,Pathora-AFHDP1-24-25,1,
Khedbrahma,Poshina SF,Poshina SF,Koland-PGVP-24-25,1,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Jay Ambe Lakhpatididi-24-25,,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Badiyantalav-PGVP-24-25,1,
Khedbrahma,Lambadiya SF,Lambadiya SF,Lambadiya-PGVP-24-25,1,
Khedbrahma,Laxmipura SF,Galodiya SF,Laxmipura-RDFL-23-24,1.25,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Jadisimbal-AFHDP1-24-25,2,
Khedbrahma,Matoda SF,Radhivad,Unchidhanal-AFSCP-24-25,1.5,
Khedbrahma,Matoda SF,Matoda SF,Tuver-AFHDP1-24-25,1,
Khedbrahma,Poshina SF,Poshina SF,Khandhora-AFPBP-24-25,8,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Shyamnagar-PGVP-24-25,1,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Navamota-PGVP-24-25,1,
Khedbrahma,Lambadiya SF,Lambadiya SF,tebda-PGVP-24-25,1,
Khedbrahma,Laxmipura SF,Galodiya SF,Laxmipura-AFHDP1-23-24,2,
Khedbrahma,Laxmipura SF,Jadi Simbal SF,Rodhara-AFHDP2-24-25,5,
Khedbrahma,Matoda SF,Radhivad,Gadhalashamlaji-AFSCP-24-25,1.5,
Khedbrahma,Matoda SF,Matoda SF,Pipodara-AFHDP2-24-25,2,
Khedbrahma,Poshina SF,Poshina SF,Dantral-AFPBP-24-25,8,
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Gota-PGVP-24-25,1,
Khedbrahma,Kheroj SF,Dan Mahudi SF,Kheroj-AFSCP-24-25,3,
